antigen_species,count
bacillus subtilis,2
numida meleagris,2
influenza a virus (a/vietnam/1203/2004(h5n1)),2
salmonella typhimurium (strain lt2 / sgsc1412 /atcc 700720),2
"human immunodeficiency virus, escherichia coli",2
human coronavirus emc,2
influenza a virus (strain a/hong kong/1/1968h3n2)  | influenza a virus,2
norovirus hu/gii-4/saga1/2006/jp,2
dickeya chrysanthemi | dickeya chrysanthemi | dickeya chrysanthemi | dickeya chrysanthemi | dickeya chrysanthemi,2
influenza a virus (a/reassortant/nymc x-181a(a/nymc x-157 x california/07/2009)(h1n1)),2
escherichia coli dh5[alpha],2
influenza a virus (a/jeju/2279/2007(h1n1)),2
puumala orthohantavirus,2
lactobacillus delbrueckii subsp. bulgaricusatcc 11842 = jcm 1002  | lactobacillus delbrueckii subsp. bulgaricusatcc 11842 = jcm 1002,2
ebola virus | zaire ebolavirus | ebola virus,2
saccharomyces cerevisiae (strain atcc 204508 /s288c)  | saccharomyces cerevisiae (strain atcc 204508 /s288c)  | saccharomyces cerevisiae (strain atcc 204508 /s288c),2
chaetomium thermophilum (strain dsm 1495 / cbs144.50 / imi 039719)  | chaetomium thermophilum (strain dsm 1495 / cbs144.50 / imi 039719)  | chaetomium thermophilum | chaetomium thermophilum (strain dsm 1495 / cbs144.50 / imi 039719),2
human cytomegalovirus | human cytomegalovirus,2
"recombinant hepatitis c virus h77(5'utr-ns2)/jfh1_v787a,q1247l",2
hendra virus,2
influenza a virus (strain a/brevigmission/1/1918 h1n1)  | influenza a virus (strain a/brevigmission/1/1918 h1n1),2
tick-borne encephalitis virus,2
anopheles stephensi,2
hepatovirus a,2
adeno-associated virus | adeno-associated virus | adeno-associated virus | adeno-associated virus | adeno-associated virus,2
geobacillus thermodenitrificans (strain ng80-2)  | geobacillus thermodenitrificans (strain ng80-2),2
adeno-associated virus | adeno-associated virus | adeno-associated virus | adeno-associated virus,2
streptococcus pneumoniae tigr4,2
thermus thermophilus hb8,2
ebolavirus | ebolavirus,2
unidentified,2
archaeoglobus fulgidus,2
photobacterium profundum ss9 | photobacterium profundum ss9,2
betacoronavirus england 1,2
metarhizium acridum (strain cqma 102),2
"homo sapiens, clostridium pasteurianum",2
"mus musculus, muromegalovirus g4",2
